epoch,lr,train_loss,valid_loss,train_iou,valid_iou
0,9.05463412215599e-05,0.8353644920432052,0.7928248608466424,0.10142075319005092,0.13727079656454588
1,6.57963412215599e-05,0.8005709492641944,0.769790736755522,0.1488577409282975,0.18376730618500478
2,3.52036587784401e-05,0.7758558003798776,0.7494316673514867,0.1888402726339257,0.2225379564679495
3,1.0453658778440105e-05,0.7591740735199141,0.7367399683093081,0.21912712150293848,0.24125782097920342
4,1e-06,0.7493495189625283,0.7323449006175049,0.23423209170932355,0.24818206276043805
